column,Row Order,MADAWASKA AEROSTAR,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,MAUGHLIN STORM,BRAEDALE GOLDWYN,SHOREMAR JAMES,A MARK CJ GILBROOK GRAND ET,GIBBON,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,JOCKO BESN,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,OSDEL-ENDEAVOR BOVA CUBBY,HANOVERHILL STARBUCK,PICSTON SHOTTLE,BASAR,SHOREMAR PERFECT STAR (ET),CARENDA FABULON-ET,ELITE GOLD BULLION-IMP-ET,HILL VALLEY BASAR ACME,BELT,AG-HIGH SIGHTS BS INGOT-ET,ELITE MOUNTAIN DONOR IMP (E_T),MJR BLACKSTAR EMORY-ET,ROUMARE,BIS-MAY S-E-L MOUNTAIN ET,FUSTEAD EMORY BLITZ,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,ROTHROCK TRADITION LEADMAN,MARA-THON BW MARSHALL,BUSHLEA WAVES FABULON,OUT-JOCK CHOICE AMEL,MAIZEFIELD BELLWOOD - (E_T_),ETAZON CELSIUS,SHEN-VAL NV LM FORMATION-ET,END-ROAD BLACKSTAR MAJIC-ET,LONG-LANGS OMAN OMAN,BUSHLEA PERFECTOR BOLD-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
TOPSPEED GOLDYN-ET - GOLDCREST,1,1,0,0,0.828671329,0.454545455,0.451048951,0.377622378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552447552,0,0,0.465034965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,2,1,0,0,0.828671329,0.454545455,0.451048951,0.377622378,0.213286713,0,0,0,0,0,0,0,0,0,0,0.167832168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,3,0,0,0,0,0,0,0,0.213286713,0,0,0,0,0,0,0.15034965,0,0.433566434,0.423076923,0.167832168,0,0.384615385,0.321678322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,4,1,0,0,0.828671329,0.454545455,0.451048951,0.377622378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,5,0,0.325174825,0.286713287,0.828671329,0.454545455,0.451048951,0.377622378,0,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,6,0,0.325174825,0.286713287,0.828671329,0.454545455,0.451048951,0.377622378,0,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,7,0,0.325174825,0.286713287,0.828671329,0.454545455,0.451048951,0.377622378,0,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,8,0,0,0,0,0,0,0,0.426573427,0,0,0.328671329,0.311188811,0,0,0,0,0,0,0.167832168,0.27972028,0,0,0.202797203,0,0,0.094405594,0,0,0,0,0,0,0,0,0.083916084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,9,0,0.325174825,0.286713287,0,0,0,0,0.213286713,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0.167832168,0.27972028,0,0,0.202797203,0,0,0,0,0,0,0,0,0,0,0,0.083916084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,10,0,0,0,0,0,0,0,0.213286713,0,0,0.328671329,0.311188811,0,0,0.15034965,0,0,0,0,0.27972028,0,0,0.202797203,0,0,0.094405594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,11,0.5,0.325174825,0.286713287,0,0.454545455,0.451048951,0,0,0.097902098,0.094405594,0,0,0.076923077,0.06993007,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,12,0.5,0.325174825,0.286713287,0,0.454545455,0.451048951,0,0,0.097902098,0.094405594,0,0,0.076923077,0.06993007,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,13,0.5,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0.094405594,0,0,0.076923077,0.06993007,0.15034965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,14,1,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0,0,0,0.076923077,0,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,15,0,0,0,0,0,0,0,0.213286713,0,0,0,0,0,0,0,0,0.433566434,0.423076923,0.167832168,0,0.384615385,0.321678322,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,16,0.5,0,0,0,0,0,0,0,0.097902098,0,0.328671329,0.311188811,0.076923077,0,0.15034965,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0.087412587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,17,0,0.325174825,0.286713287,0,0,0,0,0.213286713,0,0.094405594,0.328671329,0.311188811,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0.094405594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,18,0,0.325174825,0.286713287,0,0,0,0,0.213286713,0,0.094405594,0.328671329,0.311188811,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0.094405594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,19,0,0.325174825,0.286713287,0,0,0,0,0,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213286713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,20,0.5,0.325174825,0.286713287,0,0,0,0,0,0,0.094405594,0,0,0,0.06993007,0.15034965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,21,0.5,0,0,0,0,0,0,0,0.097902098,0,0,0,0.076923077,0,0.300699301,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122377622,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,22,0.5,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0.094405594,0,0,0.076923077,0.06993007,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,23,0.5,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0.094405594,0,0,0.076923077,0.06993007,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,24,0.5,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0.094405594,0,0,0.076923077,0.06993007,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,25,0.5,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101398601,0,0,0.066433566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,26,0.5,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101398601,0,0,0.066433566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,27,0.5,0,0,0,0,0,0,0,0.097902098,0,0,0,0.076923077,0,0.15034965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048951049,0,0,0,0,0,0.059440559,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,28,0,0,0,0,0,0,0,0.213286713,0.097902098,0,0.328671329,0.311188811,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0.094405594,0,0,0,0,0,0,0,0,0,0,0,0,0.059440559,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,29,0,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0.094405594,0,0,0.076923077,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,30,0,0.325174825,0.286713287,0,0,0,0,0,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,31,0.5,0,0,0,0,0,0,0,0.097902098,0,0,0,0.076923077,0,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,32,0.5,0,0,0,0,0,0,0,0.097902098,0,0,0,0.076923077,0,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,33,0,0.325174825,0.286713287,0,0,0,0,0,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048951049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,34,0,0.325174825,0.286713287,0,0,0,0,0,0,0.188811189,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062937063,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,35,0.5,0,0,0,0,0,0,0,0.097902098,0,0,0,0.153846154,0,0,0.160839161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,36,0,0.325174825,0.286713287,0,0,0,0,0,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0.062937063,0,0.01048951,0.045454545,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,37,0,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101398601,0,0,0.066433566,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,38,0,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101398601,0,0,0.066433566,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,39,0,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101398601,0,0,0.066433566,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,40,0,0.325174825,0.286713287,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0.003496503,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,42,0,0.325174825,0.286713287,0,0,0,0,0,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,43,0,0,0,0,0,0,0,0,0.097902098,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174825175,0,0,0,0.097902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,46,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0.062937063,0,0.01048951,0.045454545,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
