column,Row Order,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,BASAR,MANNA FARM DEL SANTO,ROUMARE,JOCKO BESN,GIBBON,BRAEDALE GOLDWYN,FATAL,SHOREMAR PERFECT STAR (ET),Q250 BESNE BUCK,MAUGHLIN STORM,JENNY-LOU MRSHL TOYSTORY,BELT,A RONNYBROOK PRELUDE ET,JARDIN,SHOREMAR JAMES,MARA-THON BW MARSHALL,SKALSUMER SUNNY BOY,A MARK CJ GILBROOK GRAND ET,WALKWAY CHIEF MARK,MADAWASKA AEROSTAR,EMERALD-ACRES-SA TONIC ET,NEHLS CHIEF CRUSADER,SIR C VALOR,AMIGHETTI NUMERO UNO,BADGER-BLUFF FANNY FREDDIE,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,COYNE-FARMS DORCY,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,FLEVO GENETICS SNOWMAN,FUSTEAD EMORY BLITZ,HA-HO CUBBY MANFRED-ET,LARS-ACRES SHOT TRIGGER,LONG-LANGS OMAN OMAN,O-BEE MANFRED JUSTICE,OSDEL-ENDEAVOR BOVA CUBBY,PICSTON SHOTTLE,RAMOS,REGANCREST RBK DIE-HARD,RIDGE-STAR JAMMER,ROSE-BAUM TABOO,SANDY-VALLEY BOLTON,STARTMORE RUDOLPH,VA-EARLY-DAWN SUDAN CRI-ET
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MANNA FARM DELANO - DELANO,1,1,0.474248501,0.28004163,0.137339131,0.175965762,0.099784845,0.13089875,0,0,0.1942033,0.022531034,0,0,0.06437607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,2,1,0.474248501,0.28004163,0.137339131,0,0,0.129825857,0,0,0.1942033,0,0,0,0.06437607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,3,0.987124456,0.471029546,0.276822676,0.085836957,0.175965762,0.099784845,0.129825857,0,0,0,0.022531034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,4,0.987124456,0.471029546,0.276822676,0.085836957,0,0.099784845,0,0,0,0,0.022531034,0,0,0,0,0.06008587,0,0,0,0,0,0,0.00321868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,5,0.987124456,0.471029546,0.276822676,0.085836957,0,0.099784845,0,0,0,0,0.022531034,0,0,0,0,0.06008587,0,0,0,0,0,0,0.00321868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,6,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0.034334783,0,0,0,0.02145869,0,0,0,0,0.008583696,0,0,0.005364466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,7,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0.021459239,0,0,0,0,0,0,0,0,0.005364741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,8,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0.021459239,0,0,0,0,0,0,0,0,0.005364741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,9,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0.021459239,0,0,0,0,0,0,0,0,0.005364741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,10,0.987124456,0.471029546,0.276822676,0.085836957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,11,0,0,0,0,0,0.099784845,0,0.021459239,0.404504669,0,0.022531034,0,0,0,0.041843937,0,0.005364741,0,0,0,0,0.004291573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,12,0,0,0,0,0.175965762,0.099784845,0.129825857,0.034334783,0,0,0.022531034,0.02145869,0,0,0,0,0.008583696,0,0,0.005364466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,13,0,0,0,0,0.175965762,0.099784845,0.129825857,0,0,0,0.022531034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,14,0,0,0,0,0,0,0,0.085836957,0,0,0,0.024677644,0,0,0,0,0.021459239,0,0,0.008583421,0.02789605,0.005364466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,15,0,0,0,0,0,0,0,0.034334783,0,0,0,0.02145869,0,0,0,0,0.008583696,0,0.04935419,0.005364466,0,0,0,0.004291573,0.004291573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,16,0,0,0,0,0,0,0,0,0,0,0,0,0.068669566,0,0,0,0,0.017167117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,17,0,0,0,0,0,0,0,0,0,0,0,0,0.068669566,0,0,0,0,0.017167117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,18,0,0,0,0,0,0,0,0.021459239,0,0,0,0,0,0,0.041843937,0,0.005364741,0,0,0,0,0.004291573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,19,0,0,0,0,0,0,0,0.034334783,0,0,0,0.02145869,0,0,0,0,0.008583696,0,0,0.005364466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,20,0,0,0,0,0,0,0,0.034334783,0,0,0,0.02145869,0,0,0,0,0.008583696,0,0,0.005364466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,21,0,0,0,0,0,0,0,0.034334783,0,0,0,0.02145869,0,0,0,0,0.008583696,0,0,0.005364466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041843937,0,0,0.017167117,0,0,0,0.004291573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,23,0,0,0,0,0,0,0,0.021459239,0,0,0,0,0,0,0,0,0.005364741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,24,0,0,0,0,0,0,0,0.021459239,0,0,0,0,0,0,0,0,0.005364741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,25,0,0,0,0,0,0,0,0.018240285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017167117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEEMAR ASTON-ET - 29HO18076,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRENTANO - GGIBRENTANO,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MANSFIELD-ET - 29HO18006,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
