column,Row Order,PICSTON SHOTTLE,SANDY-VALLEY BOLTON,O-BEE MANFRED JUSTICE,CAROL PRELUDE MTOTO ET,SHOREMAR JAMES,LONG-LANGS OMAN OMAN,DIXIE-LEE AARON -ET,END-ROAD BEACON,MAUGHLIN STORM,JOCKO BESN,END-ROAD PVF BOLIVER,HA-HO CUBBY MANFRED-ET,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,MARA-THON BW MARSHALL,A RONNYBROOK PRELUDE ET,STARTMORE RUDOLPH,Q250 BESNE BUCK,OUT-JOCK CHOICE AMEL,A MARK CJ GILBROOK GRAND ET,JARDIN,BASAR,OSDEL-ENDEAVOR BOVA CUBBY,GIBBON,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,EMERALD-ACRES-SA TONIC ET,FATAL,BADGER-BLUFF FANNY FREDDIE,BRAEDALE GOLDWYN,BUNDALONG MARKS MEDALLION,CARENDA FABULON-ET,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,ENSENADA TABOO PLANET ET,ETAZON KNOCK OUT,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,HILL VALLEY BASAR ACME,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,MR CHASSITY GOLD CHIP,RAMOS,REGANCREST ALTAIOTA,ROSE-BAUM TABOO,ROUMARE,UFM-DUBS ALTAESQUIRE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
DUPASQUIER PRIZIM - CBPRIZIM,1,0.979823454,0.788146263,0.107187822,0,0,0.065573776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,2,0.979823454,0.788146263,0.107187822,0,0,0.065573776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,3,0.979823454,0.788146263,0,0,0,0,0,0.166456508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,4,0.998739047,0,0,0.292558954,0.112231959,0,0,0,0,0.118536726,0,0,0.150054751,0,0,0.08070102,0,0.027741299,0,0,0,0,0,0,0,0,0,0.00378286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG VEKIS BOSS - AIBLOOPER,5,0.983606637,0,0.107187822,0.288775771,0,0.065573776,0,0.181588918,0,0,0,0,0,0,0.152584406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,6,0.983606637,0,0.110971005,0.288775771,0,0.080706186,0.156367912,0,0,0,0,0.044134985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,7,1,0,0,0.292558954,0.112231959,0,0,0,0,0,0,0,0.150054751,0,0,0.08070102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,8,0.983606637,0,0.110971005,0.288775771,0,0,0,0,0,0,0,0.044134985,0,0,0.152584406,0,0,0,0.022698453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,9,0.979823454,0,0.126103415,0,0,0,0,0.166456508,0,0,0,0.047918168,0,0.214366928,0,0,0,0,0,0,0,0,0.012609857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,10,0.979823454,0,0.110971005,0,0,0.080706186,0.156367912,0,0,0,0.087011276,0.044134985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,11,0.983606637,0,0,0.288775771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022698453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,12,0.979823454,0,0.110971005,0,0.112231959,0,0,0,0,0,0,0.044134985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,13,0.979823454,0,0.107187822,0,0,0,0,0,0,0,0.087011276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,14,0.981084407,0,0.108448775,0,0,0.065573776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT PEAK ALEX - CBPEAKALEX,15,0.979823454,0,0.107187822,0,0,0.065573776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,16,0.979823454,0,0,0,0,0,0,0.166456508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,17,0.979823454,0,0,0,0,0,0,0.166456508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,18,0.979823454,0,0,0,0.112231959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00630509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,19,0.979823454,0,0,0,0,0,0,0,0,0,0.087011276,0,0,0,0,0,0,0,0.022698453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,20,0.979823454,0,0.107187822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,21,0.979823454,0,0,0,0,0,0,0,0,0,0.087011276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,22,0.981084407,0,0,0,0,0.061790593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,23,0.979823454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022698453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,24,0.979823454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,25,0.979823454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,26,0.979823454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,27,0,0.788146263,0.107187822,0,0,0.065573776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,28,0,0.788146263,0.110971005,0,0,0,0,0,0,0,0,0.044134985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,29,0,0,0.126103415,0,0.131147552,0,0,0,0.156366943,0,0,0.047918168,0.151315705,0.214366928,0,0,0,0,0,0.034046066,0,0,0.012609857,0,0.022697162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,30,0,0.788146263,0.107187822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,31,0,0.788146263,0.107187822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,32,0,0.788146263,0.107187822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,33,0,0.788146263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,34,0,0,0.110971005,0,0.116015142,0.080706186,0.156367912,0,0.15258376,0,0,0.044134985,0,0,0,0,0,0,0,0.030262883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,35,0,0,0.110971005,0,0,0.080706186,0.156367912,0,0,0.118536726,0,0.044134985,0,0,0,0,0,0.027741299,0,0,0,0.00630509,0,0.007566043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,36,0,0,0.107187822,0,0.116015142,0,0,0,0.15258376,0,0,0,0,0,0,0,0,0,0,0.030262883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,37,0,0,0.107187822,0,0.116015142,0,0,0,0.15258376,0,0,0,0,0,0,0,0,0,0,0.030262883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM SHAN 2716 - WENTWORTH,38,0,0,0.110971005,0,0,0.080706186,0.156367912,0,0,0,0,0.044134985,0,0,0,0,0,0,0,0,0,0.00630509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,39,0,0,0.110971005,0,0,0.080706186,0.156367912,0,0,0,0,0.044134985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS HONDA-ET - MINOTAUR,40,0,0,0.107187822,0,0,0,0,0,0,0.118536726,0,0,0,0,0,0,0,0.027741299,0,0,0,0,0,0.007566043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,41,0,0,0,0,0,0,0,0,0,0.118536726,0,0,0,0,0,0,0,0.027741299,0,0,0.100882732,0.00630509,0,0,0,0,0.006304767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,42,0,0,0.107187822,0,0.112231959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,43,0,0,0.107187822,0,0.112231959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,44,0,0,0.107187822,0,0,0,0,0,0,0,0.087011276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,45,0,0,0,0,0.112231959,0,0,0,0,0,0,0,0,0,0,0,0.052962304,0,0,0,0,0.00630509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,46,0,0,0,0,0,0,0,0,0,0.118536726,0,0,0,0,0,0,0,0.027741299,0,0,0,0.00630509,0,0.007566043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,47,0,0,0,0,0,0,0,0,0,0,0.087011276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052962304,0,0.022698453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052962304,0,0.022698453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
